name,price,rating,category,features
IFB FastCool CI1831G223G5 1.5 Ton 3 Star 2023 Inverter Split AC,"₹35,800",--rating: 4.6;,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Memory Feature']"
Lloyd GLS12I5FWBEV 1 Ton 5 Star 2022 Inverter Split AC,"₹32,990",--rating: 4.35;,AC,"['Split AC', '1 Ton Capacity', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', '5 Star Rating']"
Blue Star IC512YNU 1 Ton 5 Star 2023 Inverter Split AC,"₹37,650",--rating: 4.15;,AC,"['Split AC', '1 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Memory Feature']"
Blue Star IC315YNU 1.3 Ton 3 Star 2023 Inverter Split AC,"₹31,390",--rating: 4.05;,AC,"['Split AC', '1.3 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Memory Feature']"
Blue Star IA311YNU 0.9 Ton 3 Star 2023 Inverter Split AC,"₹28,563",--rating: 4.55;,AC,"['Split AC', '0.9 Ton Capacity', 'LED Panel Display', '2-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Memory Feature']"
Godrej SFC 24LTC3-WWR 2 Ton 3 Star 2023 Split AC,"₹41,990",--rating: 4.25;,AC,"['Split AC', '2 Ton Capacity', 'Hidden LED Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Memory Feature']"
Hitachi RAS.V312PCAISH 1 Ton 3 Star 2023 Inverter Split AC,"₹35,110",--rating: 4.15;,AC,"['Split AC', '1 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', 'Auto Clean']"
Godrej SIC 18TTC3-WWA 1.5 Ton 3 Star 2022 Inverter Split AC,"₹30,990",--rating: 4.65;,AC,"['Split AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', '3 Star Rating']"
Godrej SIC 12TTC3-WWA 1 Ton 3 Star 2023 Inverter Split AC,"₹31,626",--rating: 4.45;,AC,"['Split AC', '1 Ton Capacity', 'Air Swing', 'Auto Restart', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Memory Feature', 'Night Glow Buttons']"
Hitachi RAS.V318PCAISH 1.5 Ton 3 Star 2023 Inverter Split AC,"₹37,450",--rating: 4.75;,AC,"['Split AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', 'Auto Clean']"
